Application Type,Application Number,Process Date,Issued Date,Final Date,Expire Date,Type and purpose of work,Use Group,Watershed,Tributary,WSSC map grid,Tax map,Location,Street number,Street Pre direction,Street name,Street Post direction,Street suffix,City,State,Zip Code,Count Street Map Coordinate,Disturbed Area 100 Year FD,Impervious Surface 100 Year FD,State Water Use,Comments,Location1
FLOODPLAIN DISTRICT PERMIT,291202,04/08/2013,04/29/2013,04/23/2018,04/29/2015,Public Roadway Construction,CONS,LSC,,230NW12,FV122,"INTERSECTION OF PROPOSED SNOWDEN FARM PARKWAY AND RIDGE ROAD (MD ROUTE 27), CLARKSBURG, MARYLAND",,,,,,,,,4929/B6,4790,0,0,,
FLOODPLAIN DISTRICT PERMIT,292744,04/30/2013,02/26/2016,,02/26/2019,Realignment of the intersection of Brink Rd & Md 355,,LSC,,,,Brink Road @ Md. Rt 355,,,,,,,,,4929/A6,"30,575","6,117",0,,
FLOODPLAIN DISTRICT PERMIT,358095,05/24/2017,11/13/2017,,11/13/2019,Installation of SD Outfall and SD Connection to an existing structure for a proposed senior housing facility on Lot 1,CONS,,,219NW03,HR-53,,3132,,BEL PRE,,RD,SILVER SPRING,MD,20906,5165-K6,3543,264,0,,"3132 BEL PRE RD
SILVER SPRING, MD 20906
(39.091375, -77.065175)"
FLOODPLAIN DISTRICT PERMIT,341669,07/24/2015,07/24/2015,,07/24/2017,REPLACE AND UPGRADE EXISTING GAS METER STATION EQUIPMENT.,CONS,GSC,,229NW13,EV41,,21210,,DORSEY MILL,,RD,GERMANTOWN,MD,20876,,0,,0,,"21210 DORSEY MILL RD
GERMANTOWN, MD 20876
(39.203488, -77.266411)"
FLOODPLAIN DISTRICT PERMIT,262831,08/24/2009,09/02/2009,,09/02/2011,"REPLACE BARREL &RISER ON EXISTING 1970 POND AT IZAAK WALTON LEAGUE SLIGO CHAPTER,KNOWN AS LOIS GREEN FARM (SNOUFFER SCHOOL ROAD)",MISSTR,GSC,CABIN BRCH,,GU22,,8721,,SNOUFFER SCHOOL,,RD,GAITHERSBURG,MD,20879,,5200,,0,"FLOOD PLAIN PERMIT--IZAAK WALTON LEAGUE, INC.","8721 SNOUFFER SCHOOL RD
GAITHERSBURG, MD 20879
(39.175745, -77.178831)"
FLOODPLAIN DISTRICT PERMIT,365575,10/11/2018,11/05/2018,,11/05/2020,Site Development--Stream and Floodplain Relocation/Restoration,,ROR,UNNAMED,213NW10,FP343,,10311,,RIVER,,RD,POTOMAC,MD,20854,,0,,0,,"10311 RIVER RD
POTOMAC, MD 20854
(39.020881, -77.213143)"
FLOODPLAIN DISTRICT PERMIT,220401,02/04/2003,03/06/2003,,03/06/2005,CONSTRUCT 2 SFD,,CJC,,211NW9,,,9307,,KENDALE,,RD,POTOMAC,MD,20854,,1500,0,0,Lots 32 & 33,"9307 KENDALE RD
POTOMAC, MD 20854
(39.007351, -77.18034)"
FLOODPLAIN DISTRICT PERMIT,204321,04/14/2000,06/07/2000,,,SWM POND OUTFALL CONSTRUCTION,,NWB,,217NW03,,,13210,,LAYHILL,,RD,SILVER SPRING,MD,,30H8,248.29,0,0,,"13210 LAYHILL RD
SILVER SPRING, MD
(39.072399, -77.045566)"
FLOODPLAIN DISTRICT PERMIT,206391,08/07/2000,08/14/2000,,,RE-CONSTRUCT EXISTING SWM DRY POND & CONSTRUCT SURFACE SAND FILTER WITHIN POND,,CJC,UNNAMED,214NW8,,,8224,,LOCHINVER,,LN,POTOMAC,MD,20854,34 K2,17424,0,0,,"8224 LOCHINVER LN
POTOMAC, MD 20854
(39.039735, -77.168366)"
FLOODPLAIN DISTRICT PERMIT,265299,04/14/2010,11/24/2015,11/24/2015,11/24/2017,REHABILITATION OF THEATER POND AND STREAMBANK STABILIZATION OF WHETSTONE RUN.,CONS,GSC,WHETSTONE,226NW10,FU41,,18850,,MONTGOMERY VILLAGE,,AVE,GAITHERSBURG,MD,,"5047, G4",31300,0,0,,"18850 MONTGOMERY VILLAGE AVE
GAITHERSBURG, MD
(39.165545, -77.204798)"
FLOODPLAIN DISTRICT PERMIT,204791,05/09/2000,05/09/2000,,,"ADD DECK TO REAR OF HOME , IN 25' BRL",,CJC,SNAKEDENBR,215NW8,GQ122,,11809,,KIM,,PL,POTOMAC,MD,20854,28K13,4356,4356,0,,"11809 KIM PL
POTOMAC, MD 20854
(39.049433, -77.167811)"
FLOODPLAIN DISTRICT PERMIT,267719,12/01/2010,03/30/2011,08/13/2013,03/30/2013,CONSTRUCTION OF SWM FACILITY WITHIN THE 25' BRL. NO DISTURBANCE OF THE FLOODPLAIN IS PROPOSED.,,WBR,,216NW09,FQ53,,9201,,FALLS CHAPEL,,WAY,POTOMAC,MD,20854,5283-K1,5600,0,0,COLD SPRING ELEMENTARY SCHOOL ADDITION,"9201 FALLS CHAPEL WAY
POTOMAC, MD 20854
(39.059623, -77.187461)"
FLOODPLAIN DISTRICT PERMIT,253878,07/17/2007,07/18/2007,,07/18/2009,"BUILD FENCE IN THE 100 YEAR FLOOD PLAIN/25 FT FPBRL & FLOOD FRINGE AREA, BUT NOT IN THE MNCP&PC CONSERVATION EASEMENT.",,GSC,,224NW13,ET342,,13406,,STONEBRIDGE,,TER,GERMANTOWN,MD,20874,18C8,200,100,0,,"13406 STONEBRIDGE TER
GERMANTOWN, MD 20874
(39.145012, -77.282798)"
FLOODPLAIN DISTRICT PERMIT,263977,12/07/2009,12/14/2009,,12/14/2011,DEMOLITION OF STRUCTURE AND REMOVAL OF LARGE COMMUNITY POOL,,PBR,,217NE2,KR11,,1600,E,RANDOLPH,,RD,SILVER SPRING,MD,20904,,19100,0,0,,"E 1600 RANDOLPH RD
SILVER SPRING, MD 20904"
FLOODPLAIN DISTRICT PERMIT,229294,05/07/2004,05/10/2004,,05/11/2006,INSTALL SAFE CONVEYANCE STORM DRAIN OUTFAL & RIPRAP APRON TO DRAINAGE CHANNEL LOCATED WITHIN FLOODPLAIN,,PBR,,215NE03,,,11961,,BOURNEFIELD,,WAY,SILVER SPRING,MD,20904,32A12,1113,0,0,Parcel KKKK,"11961 BOURNEFIELD WAY
SILVER SPRING, MD 20904
(39.052842, -76.961804)"
FLOODPLAIN DISTRICT PERMIT,230047,06/23/2004,11/30/2004,05/25/2005,05/25/2007,FILL IN FLOODPLAIN; CONSTRUCTION OF BOARD FENCE,,WBR,,215NW11,,,11001,,GLEN,,RD,POTOMAC,MD,20854,,0,0,0,,"11001 GLEN RD
POTOMAC, MD 20854
(39.047133, -77.226603)"
FLOODPLAIN DISTRICT PERMIT,368808,05/06/2019,05/15/2019,,05/15/2021,Stream restoration project that will provide MS4 impervious acres credits to Montgomery County,CONS,,,"224NW20/21, 225NW20/",CT123,,20525,,WHITES FERRY,,RD,POOLESVILLE,MD,20837,"5044/A5-7, B5-7",913352,0,0,,"20525 WHITES FERRY RD
POOLESVILLE, MD 20837
(39.14783, -77.432704)"
FLOODPLAIN DISTRICT PERMIT,221355,05/01/2003,06/25/2003,,06/25/2005,RADIO STATION RENOVATION,,GSC,,,,,2101,,WATKINS MILL,,RD,GERMANTOWN,MD,20876,,5045,,0,Parcel N825,"2101 WATKINS MILL RD
GERMANTOWN, MD 20876"
FLOODPLAIN DISTRICT PERMIT,366334,12/07/2018,02/26/2019,,02/26/2021,Removal of an existing house and rebuild with additional fill to remove the lower basement elevation of the house out of 100 year floodplain.,,,,212NW05,HP22,,9912,,PARKWOOD,,DR,BETHESDA,MD,20814,,8065,,0,,"9912 PARKWOOD DR
BETHESDA, MD 20814
(39.020918, -77.097387)"
FLOODPLAIN DISTRICT PERMIT,233363,12/17/2004,12/17/2004,04/20/2005,04/20/2007,RETROACTIVE PERMIT FOR PAST GRADING IN FLOODPLAIN,,,,,,,10011,,BENTCROSS,,DR,POTOMAC,MD,20854,,,,0,retroactive requirement for floodplain district permit due to past disturbance within the 100 year floodplain.,"10011 BENTCROSS DR
POTOMAC, MD 20854
(39.019107, -77.193149)"
FLOODPLAIN DISTRICT PERMIT,289475,03/07/2013,07/12/2013,12/20/2018,07/12/2015,"CONSTRUCT OF 8"" SEWER OUTFALL WHICH EXTENDS INTO FLOOD PLAIN. ADD'L DISTURBANCEASSOC. W/TRAP CONST.",PLWOR,NWB,,221NW01,JS342,,601,,NORWOOD,,RD,SILVER SPRING,MD,20905,22/B13,32000,0,0,,"601 NORWOOD RD
SILVER SPRING, MD 20905
(39.118984, -77.021195)"
FLOODPLAIN DISTRICT PERMIT,258758,08/01/2008,08/20/2008,08/24/2009,08/24/2011,"THIS PROJECT INVOLVES IMPROVING THE SAFETY OF THE EXISTING IRRIGATION POND, INCLUDING REPAIRING THE RISER AND INSTALLING A FILTER DIPHRAGM/TOE DRAIN.",CONS,UPR,,,F252,,13501,,PENN SHOP,,RD,MOUNT AIRY,MD,21771,,13873,0,0,,"13501 PENN SHOP RD
MOUNT AIRY, MD 21771
(39.34468, -77.192856)"
FLOODPLAIN DISTRICT PERMIT,209406,12/12/2000,12/13/2000,,,"15' X 19' ADDITION, REFERENCE FPDP 204791",,,,,,,11809,,KIM,,PL,POTOMAC,MD,20854,,,,0,,"11809 KIM PL
POTOMAC, MD 20854
(39.049433, -77.167811)"
FLOODPLAIN DISTRICT PERMIT,209873,01/18/2001,02/21/2002,,,SWM POND WITH EXTENDED DETENTION FOR EXISTING SITE,,NWB,,216NW2,,,1801,,OLD RANDOLPH,,RD,SILVER SPRING,MD,20902,,0,0,0,"Parcels 30, 33","1801 OLD RANDOLPH RD
SILVER SPRING, MD 20902
(39.064561, -77.036159)"
FLOODPLAIN DISTRICT PERMIT,266557,08/09/2010,09/09/2010,,09/09/2012,"INSTALL DEWATERING DEVICE,PRINCIPAL SPILLWAY RISER & A PORTION OF CONST.ACCESS RD.EXISTG SWM FACILITY TO BE USED FOR SEDIMENT CONTROL DURING CONST.",CONS,WBR,,220NW09/220NW10,FS51,,9609,,MEDICAL CENTER,,DR,ROCKVILLE,MD,20850,5163/H-J4,4500,0,0,,"9609 MEDICAL CENTER DR
ROCKVILLE, MD 20850
(39.104325, -77.19664)"
FLOODPLAIN DISTRICT PERMIT,358297,06/08/2017,11/27/2017,,11/27/2019,Installation of additional burial areas and road network as part of phased cemetery construction,CONS,LBC,UNNAMED,233 NW 14,EW12,,14321,,COMUS,,RD,CLARKSBURG,MD,20871,4928 B1,5074,2688,0,,"14321 COMUS RD
CLARKSBURG, MD 20871
(39.246339, -77.302738)"
FLOODPLAIN DISTRICT PERMIT,252875,05/11/2007,07/20/2007,09/15/2008,09/15/2010,BREACHING TWO FARM PONDS,,PRD,,227 NW 22,BU52,,19800,,WASCHE,,RD,DICKERSON,MD,20842,15/F1,88934,00,0,,"19800 WASCHE RD
DICKERSON, MD 20842
(39.180864, -77.444553)"
FLOODPLAIN DISTRICT PERMIT,224037,09/02/2003,09/29/2003,,09/29/2005,BARN AS AN ACCESSORY STRUCTURE TO MAIN HOUSE,,,,,,,11700,,BEALL MOUNTAIN,,RD,POTOMAC,MD,20854,,5000,5000,0,"Lot 10,Parcel 528","11700 BEALL MOUNTAIN RD
POTOMAC, MD 20854
(39.046163, -77.257012)"
FLOODPLAIN DISTRICT PERMIT,201781,11/29/1999,12/01/1999,12/10/2004,,CONSTRUCTION OF RIP-RAP APRON OUTFALL @ SWM POND,CONS,GSC,HORSEPEN B,223NW19,CT341,,,,TOM FOX,,AVE,POOLESVILLE,MD,20837,16D10,679.5,0,0,,"TOM FOX AVE
POOLESVILLE, MD 20837"
FLOODPLAIN DISTRICT PERMIT,215668,02/14/2002,04/07/2003,,,MUNICIPAL WELLS 9 & 10,,,,222NW19,,,16615,,BUDD,,RD,POOLESVILLE,MD,20837,,,,0,Parcel P188,"16615 BUDD RD
POOLESVILLE, MD 20837
(39.128827, -77.402047)"
FLOODPLAIN DISTRICT PERMIT,204689,05/02/2000,05/03/2000,,,"STORM DRAIN, OUTFALL & MINOR GRADING/FILLING",ENGPLN,GSC,,226NW11,,,20601,,FREDERICK,,RD,GERMANTOWN,MD,20876,,,0,0,,"20601 FREDERICK RD
GERMANTOWN, MD 20876
(39.194076, -77.24341)"
FLOODPLAIN DISTRICT PERMIT,219393,11/07/2002,11/07/2002,,,PUT IN A SPLIT RAIL FENCE ONLY IN BACK YARD,,,,,,,1804,,NARROWS,,LN,SILVER SPRING,MD,20906,,,,0,,"1804 NARROWS LN
SILVER SPRING, MD 20906
(39.116654, -77.039677)"
FLOODPLAIN DISTRICT PERMIT,232222,10/21/2004,10/22/2004,10/23/2007,10/23/2009,"REVISION FOR REMOVAL OF EXIST. RET WALLS, INSTALL. OF (1) DRYWELL. INSTALL. OF A PORTION OF A POOL & ASSOC TERRACE. REGRADING TO MATCH EXISTING GRADES",SFD,LFB,,208NW04,HN341,,301,,WEST SIDE,,DR,GAITHERSBURG,MD,20878,41;C-1,4400,860,0,"REVISION FOR REMOVAL OF EXISTING RETAINING WALLS, INSTALLATION OF ONE (1) DRYWELL.  INSTALLATION OF A PORTION OF A POOL & ASSOCIATED TERRACE.  REGRADING TO MATCH EXISTING GRADES - 02/27/2006*","301 WEST SIDE DR
GAITHERSBURG, MD 20878
(39.12526, -77.20396)"
FLOODPLAIN DISTRICT PERMIT,254694,09/21/2007,01/16/2008,,01/16/2010,AN ADDITION AND RENOVATION OF AN EXISTING RESIDENTIAL HOUSE.,,LFB,,208NW4,HN41,,37,W,LENOX,,ST,CHEVY CHASE,MD,20815,41C1,4010,1932,0,.40 ACRES/PARCEL 591/SUB 9FILE IS IN SC #232284UNTIL 232284 IS READY TO BE ISSUED,"W 37 LENOX ST
CHEVY CHASE, MD 20815"
FLOODPLAIN DISTRICT PERMIT,229615,05/27/2004,07/01/2004,,07/01/2006,INSTALLATION OF 272 LF-8 INCH SANITARY SEWER FOR WSSC,,LSC,,230&231NW13,EV43,,22412,,FREDERICK,,RD,CLARKSBURG,MD,20871,9E8,5440,0,0,"SC# 207802 7/1/04 Project is ""Stop Work""","22412 FREDERICK RD
CLARKSBURG, MD 20871
(39.222272, -77.260097)"
FLOODPLAIN DISTRICT PERMIT,261079,03/24/2009,04/02/2009,,04/02/2011,INSTALLATION OF A STREAM CROSSING CULVERT,,GSC,,,GW,,7801,,HAWKINS CREAMERY,,RD,LAYTONSVILLE,MD,20882,11A2,2468,1668,0,,"7801 HAWKINS CREAMERY RD
LAYTONSVILLE, MD 20882
(39.247475, -77.158494)"
FLOODPLAIN DISTRICT PERMIT,205207,05/30/2000,07/14/2000,,,CONSTRUCT BRIDGE OVER BOOZE CREEK TO PROVIDE VEHICULAR ACCESS TO PROPOSED SFD,,CJC,BOOZE CRK,210NW6,,,8610,,FERNWOOD,,RD,BETHESDA,MD,20817,,0,849.42,0,,"8610 FERNWOOD RD
BETHESDA, MD 20817
(38.998029, -77.134243)"
FLOODPLAIN DISTRICT PERMIT,357683,04/26/2017,05/31/2017,,05/31/2019,ADA IMPROVE. TO EX PKING LOTS & REMOVAL OF EX PKING LOT PVMT SECT. TO MINIMIZE ENCROACHMENT INTO WETLAND BUFFER,,LRC,,209NW03,HN562,,8000,,MEADOWBROOK,,LN,CHEVY CHASE,MD,20815,HN562,"24,268",16.668,0,,"8000 MEADOWBROOK LN
CHEVY CHASE, MD 20815
(38.988605, -77.058003)"
FLOODPLAIN DISTRICT PERMIT,347491,10/07/2015,12/15/2015,03/19/2018,12/15/2017,to remove trees within the Airpark's Runway FAR Part 77 primary surface,COMISC,,UNNAMED,226NW08,GU21,,7940,,AIRPARK,,RD,GAITHERSBURG,MD,20879,,79855,0,0,"The purpose of this project is to remove trees within the Airpark's Runway FAR Part 77 Primary Surface, 7 to 1 transitional suface off the primary surface and the Runway Object Free Area.","7940 AIRPARK RD
GAITHERSBURG, MD 20879
(39.167996, -77.162284)"
FLOODPLAIN DISTRICT PERMIT,267556,11/12/2010,06/28/2012,,06/28/2014,"INSTALL STORM DRAIN OUTFALL AND 8 FOOT WIDE SHARED USE PATH, REMOVE EXISTING DRIVEWAY.",,LRC,,214NW04,HQ341,,3801,,WEXFORD,,DR,KENSINGTON,MD,20895,35 B-6,2550,750,0,,"3801 WEXFORD DR
KENSINGTON, MD 20895
(39.036057, -77.077302)"
FLOODPLAIN DISTRICT PERMIT,253804,07/11/2007,10/02/2007,,10/02/2009,CONSTRUCTION OF NEW BLANKET DRAIN.,CONS,URC,,221NW06,GS63,,6700,,NEEDWOOD,,RD,ROCKVILLE,MD,20855,29-F1,"29,600",,0,Construction of new blanket drain for embankment.,"6700 NEEDWOOD RD
ROCKVILLE, MD 20855
(39.123288, -77.135931)"
FLOODPLAIN DISTRICT PERMIT,200590,09/23/1999,09/24/1999,,,INSTALL DECK POSTS/FOOTERS IN 100-YR 25 FT.FPBRL,,NWB,,219NW3,HR563,,14423,,BIG BEAR,,CT,SILVER SPRING,MD,20906,30G5,435,435,0,,"14423 BIG BEAR CT
SILVER SPRING, MD 20906
(39.09258, -77.054128)"
FLOODPLAIN DISTRICT PERMIT,268007,01/07/2011,02/14/2011,,02/14/2013,REMOVE OLD HOUSE FOUNDATION THAT WAS BURNT DOWN DUE TO FIRE.,SFD,GSC,,,ET32,,13404,,STONEBRIDGE,,TER,GERMANTOWN,MD,20874,ET32,890,0,0,,"13404 STONEBRIDGE TER
GERMANTOWN, MD 20874
(39.145034, -77.282885)"
FLOODPLAIN DISTRICT PERMIT,332188,03/02/2015,09/05/2017,,09/05/2019,Pond retrofit for com[pliance with Montgomery County's NPDES Permit Requirements,,MBR,,219NW12,ER53,,12528,,TRIPLE CROWN,,RD,GAITHERSBURG,MD,20878,,N/A,N/A,0,&lt;&gt;&lt;&gt;Pond retrofit for compliance with Montgomery County's NPDES Permit Requirements&lt;&gt;&lt;&gt;,"12528 TRIPLE CROWN RD
GAITHERSBURG, MD 20878
(39.093668, -77.259974)"
FLOODPLAIN DISTRICT PERMIT,236019,04/20/2005,08/31/2005,,08/31/2007,RENOVATION OF EXISTING PARK AFTER INSTALLATION OF ROCK CREEK RELIEF SEWER,,LRC,,216NW04,HQ343,,12326,,DEWEY,,RD,SILVER SPRING,MD,20906,30A11,"392,040","52,272",0,Parcel P606:  NEED A SEPARATE SET OF DRAWINGS.,"12326 DEWEY RD
SILVER SPRING, MD 20906
(39.056319, -77.089939)"
FLOODPLAIN DISTRICT PERMIT,259509,10/08/2008,10/08/2008,06/11/2009,06/11/2011,IN-KIND REPLACEMENT OF EXISTING COLLAPSED CULVERT,CONS,PRD,,,,,10824,,BARN WOOD,,LN,POTOMAC,MD,20854,,1000,300,0,in-kind replacement of collapsed culvert,"10824 BARN WOOD LN
POTOMAC, MD 20854
(39.034436, -77.220434)"
FLOODPLAIN DISTRICT PERMIT,250959,12/19/2006,12/22/2006,,12/22/2008,REMOVE EXISTING ADDITION & CONSTRUCT A NEW ADDITION,,CJC,,215NW6,GQ562,,11615,,DANVILLE,,DR,ROCKVILLE,MD,20852,29E13,504,,0,Lot 4/3,"11615 DANVILLE DR
ROCKVILLE, MD 20852
(39.0463, -77.131484)"
FLOODPLAIN DISTRICT PERMIT,250097,11/08/2006,11/08/2006,,11/08/2008,COMPLETE FENCE/GATE (PICKET) INSTALLATION IN FLOODPLAIN DIST. MC-DPS FENCE PERMIT #417852.,,NWB,,216NE1 & 216NW1,JQ563 & JQ343,,101,,VALLEY BROOK,,DR,SILVER SPRING,MD,20904,31D11,231,,0,For a fence,"101 VALLEY BROOK DR
SILVER SPRING, MD 20904
(39.059294, -77.00726)"
FLOODPLAIN DISTRICT PERMIT,244894,04/05/2006,05/23/2006,05/19/2008,05/19/2010,REGRADE SIDE DITCH AS REQUIRED BY PRELIMINARY PLAN #1-05045,,HWR,,225 & 226NW01,JT343 & JU341,,19030,,NEW HAMPSHIRE,,AVE,BRINKLOW,MD,20862,22B4,2682,,0,Parcel B,"19030 NEW HAMPSHIRE AVE
BRINKLOW, MD 20862
(39.168978, -77.016992)"
FLOODPLAIN DISTRICT PERMIT,209801,01/11/2001,01/31/2001,,01/22/2004,EXPANSION OF SPOIL AREA FROM EXCAVATION OF CEMETERY PLOTS,,URC,,218NW4,,,13801,,GEORGIA,,AVE,SILVER SPRING,MD,20906,,9583.2,0,0,GATE OF HEAVEN CEMETERY,"13801 GEORGIA AVE
SILVER SPRING, MD 20906
(39.08158, -77.076134)"
FLOODPLAIN DISTRICT PERMIT,205633,06/21/2000,08/28/2000,,,"STORM DRAIN, FILL & COMMUNICAITON EQUIPMENT CONSTRUCTION",,GSC,GUNNERS BR,227NW12,,,11717,,EXPLORATION,,LN,GERMANTOWN,MD,20876,,7492.32,3484.80,0,,"11717 EXPLORATION LN
GERMANTOWN, MD 20876
(39.178503, -77.24404)"
FLOODPLAIN DISTRICT PERMIT,317766,06/27/2014,07/02/2014,06/17/2016,07/02/2016,The project consists of dredging Lake Whetstone.  The recreational area adjacent to the Lake will be used for the hydraulic deredging equipment set up,,,,225NW10,E10B,,10120,,APPLE RIDGE,,RD,MONTGOMERY VILLAGE,MD,20886,FT53,"23,954","2,137",0,,"10120 APPLE RIDGE RD
MONTGOMERY VILLAGE, MD 20886
(39.185043, -77.209174)"
FLOODPLAIN DISTRICT PERMIT,233740,01/13/2005,03/16/2005,08/25/2011,08/25/2013,CONSTRUCT STORMWATER MANAGEMENT OUTFALLS & RELATED STRUCTURES.,,LRC,,213NW05,,,10900,,ROCKVILLE,,PIKE,ROCKVILLE,MD,20852,,24350,1245,0,N070,"10900 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.032092, -77.105962)"
FLOODPLAIN DISTRICT PERMIT,327666,12/08/2014,05/01/2015,04/23/2019,05/01/2017,ADD PEDESTRIAN TRAIL AND BRIDGES,CONS,URC,,222NW08,GS23,"CRABBS BRANCH WAY, DERWOOD, MD",,,,,,,,,,27340,10161,0,,
FLOODPLAIN DISTRICT PERMIT,214775,12/04/2001,02/01/2002,03/22/2005,03/22/2007,INSTALLATION OF SIDEWALK AND ASPHALT ACCESS ROAD WITHIN PROPOSED NEW 100 YEAR FLOODPLAIN OF BNAI ISRAEL REGIONAL POND,,CJC,,215NW06,,,6301,,MONTROSE,,RD,ROCKVILLE,MD,20852,,11761,8790,0,,"6301 MONTROSE RD
ROCKVILLE, MD 20852
(39.052973, -77.128805)"
FLOODPLAIN DISTRICT PERMIT,258289,06/19/2008,06/19/2008,,06/19/2010,REPLACEMENT OF CURRENT FENCE FROM 4 FEET TO 6 FEET,,,,,,,1824,,NARROWS,,LN,SILVER SPRING,MD,20906,,100,,0,,"1824 NARROWS LN
SILVER SPRING, MD 20906
(39.117477, -77.041115)"
FLOODPLAIN DISTRICT PERMIT,352502,05/11/2016,06/17/2016,11/15/2017,06/17/2018,"Install super silt fence, over-dig foundation wall, discharge microbio retention, limited grading, and install protective fence",CONS,,,210NW11,FN123,,11007,,FAWSETT,,RD,POTOMAC,MD,20854,,1855,60,0,"Install super silt fence, over-dig foundation wall, discharge microbio retention, limited grading, and install protective fence","11007 FAWSETT RD
POTOMAC, MD 20854
(38.993907, -77.225446)"
FLOODPLAIN DISTRICT PERMIT,206115,07/20/2000,07/21/2000,,,SEE FILE 206115 FOR PERMIT SHOWING CONDITIONS,,SCR,,208NE1,JN561,,6404,,ALLEGHENY,,AVE,TAKOMA PARK,MD,20912,40B8,,,0,,"6404 ALLEGHENY AVE
TAKOMA PARK, MD 20912
(38.969524, -77.003795)"
FLOODPLAIN DISTRICT PERMIT,261603,05/13/2009,08/10/2009,10/26/2010,10/26/2012,DEMOLITION OF EXISTING DRIVEWAY,CONS,HRB,,"220,221NW21","BS;S1,2",,21100,W,OFFUTT,,RD,POOLESVILLE,MD,20837,"5159-K3,4",6200,0,0,"FLOOD PLAIN FOR ""STONEY SPRINGS""","W 21100 OFFUTT RD
POOLESVILLE, MD 20837"
FLOODPLAIN DISTRICT PERMIT,208525,10/10/2000,10/11/2000,,,INSTALL FENCE IN 100-YR FP FLOOD-FRINGE/25FT FPBRL WITH 24 SQ.IN.MINIMUM OPENINGS.,,GSC,GOSHEN BR,230 NW08,GV(561),,8524,,CHURCHILL DOWNS,,RD,GAITHERSBURG,MD,20882,"10H8,J8",4356,435.6,0,,"8524 CHURCHILL DOWNS RD
GAITHERSBURG, MD 20882
(39.216046, -77.177674)"
FLOODPLAIN DISTRICT PERMIT,279011,08/21/2012,09/12/2012,,09/12/2014,"BUILD 848,693 GROSS SF OF MIXED USE RET & RES DEV.  INCLUDES 4 MF BLDGS, RETAIL WITHIN 2 OF THE MF BLDGS & 166 TH(S). RELOCATE HIGH HAZARD DAM & POND.",MFD,LSC,,226NW13,EU342,,19430,,WATERS,,RD,GERMANTOWN,MD,20874,5046 / F3,"68,119",,0,,"19430 WATERS RD
GERMANTOWN, MD 20874
(39.176767, -77.273145)"
FLOODPLAIN DISTRICT PERMIT,246026,05/19/2006,12/01/2006,,12/01/2008,"NEW ACCESS ROAD TO BROOKVILLE SERVICE DEPOT, EXPANSION OF BUS PARKING LOT AND CONSTRUCTION OF STORMWATER MANAGEMENT STRUCTURES.",CONS,LRC,,3NW 210NW,HN 63,,8710,,BROOKVILLE,,RD,SILVER SPRING,MD,20910,36 F9,2850,190,0,,"8710 BROOKVILLE RD
SILVER SPRING, MD 20910
(38.998788, -77.056005)"
FLOODPLAIN DISTRICT PERMIT,325606,10/30/2014,03/02/2016,10/14/2016,03/02/2018,REPLACE FIALING & ERODED CULVERTS,,,,237NW08,GX22,,26020,,LONG CORNER,,RD,GAITHERSBURG,MD,20882,,7300,,0,,"26020 LONG CORNER RD
GAITHERSBURG, MD 20882
(39.284603, -77.161817)"
FLOODPLAIN DISTRICT PERMIT,256577,02/05/2008,02/21/2008,,02/21/2010,"REPLACE THE DETERIORATED BRIDGE M10-15 WITH A NEW FIBERGLASS BRIDGE AT ROCK CREEK REGIONAL PARK,#1500 MEADOWSIDE LA,(MEADOWSIDE NATURE NTER)ROCKVILLE.",CONS,URC,NORTH BR,221NW5,HS122,,5100,,MEADOWSIDE,,LN,ROCKVILLE,MD,20855,20K13,400,0,0,,"5100 MEADOWSIDE LN
ROCKVILLE, MD 20855
(39.112665, -77.106502)"
FLOODPLAIN DISTRICT PERMIT,221460,05/07/2003,05/08/2003,,,"REPLACE EXISTING DETERIORATED 72' STEEL CULVERT IN PRIVATE DRIVE W/A 72"" CLASS 3 REINFORCED CONCRETE CULVERT PIPE",,BCR,BENNETT CR,238 & 239NW12,EY,,27320,,CLARKSBURG,,RD,DAMASCUS,MD,20872,"3G,H,4-5",100,0,0,Parcel P977,"27320 CLARKSBURG RD
DAMASCUS, MD 20872
(39.306059, -77.250822)"
FLOODPLAIN DISTRICT PERMIT,266275,07/13/2010,07/21/2010,09/12/2017,07/21/2012,"GRADING EMBANKMENT & CONSTRUCTION OF PRINCIPAL SPILLWAY FFOR SWM POND ""W"".",CONS,LSC,UNNAMED,230NW11,FV13,,22222,,RIDGE,,RD,GERMANTOWN,MD,20876,4929 B5,15275,0,0,PARCEL P600 -,"22222 RIDGE RD
GERMANTOWN, MD 20876
(39.221843, -77.237976)"
FLOODPLAIN DISTRICT PERMIT,218604,08/30/2002,11/26/2002,02/12/2008,02/12/2010,BRIDGE OVER STREAM FOR GOLF CART PATH,,PRD,,10NW214NW,,,10800,,FALLS,,RD,POTOMAC,MD,20854,,400,280,0,Parcel 725,"10800 FALLS RD
POTOMAC, MD 20854
(39.031487, -77.19879)"
