Major PIN,Contract Number,Region,Project Title,Project Description,Status,In/Future Development Start Date,Bid Opening Date,Construction Start Date,Construction End Date,Construction Amount,Federal Funding,State Funding,Local Funding,Type of Work,Public Friendly Description,Contract Award Date,Contract Award Amount,Approved Cost Changes,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
580800,D263260,05 WESTERN NEW YORK,SIGNAL REQUIREMENTS; SFY 16/17,"SIGNAL REQUIREMENTS; SFY 16/17; VARIOUS LOCATIONS IN CATTARAUGUS, CHAUTAUQUA, ERIE & NIAGARA COUNTIES INCLUDING THE INTERSECTION OF RT 78 & TONAWANDA CREEK RD IN THE TOWNS OF AMHERST & CLARENCE; CATTARAUGUS, CHAUTAUQUA, ERIE & NIAGARA COUNTIES",Completed Project,Fall 2015,09/22/2016,,,,No,Yes,No,This project involves the installation or improvement of traffic signals.,"Traffic signal equipment installation & improvements at various locations in Cattaraugus, Chautauqua, Erie & Niagara Counties including the intersection of Route 78 and Tonawanda Creek Road, in the Towns of Amherst and Clarence, .",01/09/2017,979365,334847,1314212,08/30/2019,RED,RED
580973,,05 WESTERN NEW YORK,"BNRAMS; RTS 62,75,130,240,324,325,384, 952Q, 952Q; PHASE 3","BUFFALO NIAGARA REGIONAL ARTERIAL MANAGEMENT SYSTEM; TRAFFIC SIGNAL COORDINATION ON RTS 62,75,130,240,324,325,384, 952Q, 952Q; TOWNS OF AMHERST, CHEEKTOWAGA, HAMBURG, LANCASTER, TONAWANDA & WEST SENECA, VILLAGES OF DEPEW & SLOAN; ERIE COUNTY",In Development,Summer 2012,Winter 2019/2020,Winter 2019/2020,Fall 2020,3600000.00,Yes,Yes,No,This project involves coordinating traffic lights to improve traffic flow.,"BNRAMS is the acronym for Buffalo Niagara Regional Arterial Management System. This project involves coordination of the traffic signal systems on NY Rts. 952Q (Walden Ave), 324, 325, 240 & US Rt. 62 in the Towns of Amherst, Cheektowaga, Tonawanda and Vil",,,,,,,
581093,D263974,05 WESTERN NEW YORK,OVERHEAD SIGN STRUCTURES & SIGN PANEL PROGRAM; SFY 19/20,"OVERHEAD SIGN STRUCTURES & SIGN PANEL PROGRAM; SFY 19/20;VARIOUS LOCATIONS; CHAUTAUQUA, ERIE & NIAGARA COUNTIES",Under Construction,Spring 2018,06/06/2019,,,,Yes,Yes,No,This project involves the installation and maintenance of traffic signs.,"This project will replace signs that are damaged, have fallen down, have no reflectivity for nighttime visibility, and/or will correct safety/operational issues as needed at locations in Chautauqua, Erie & Niagara Counties.",07/10/2019,356774,0,356774,11/30/2020,GREEN,GREEN
581094,,05 WESTERN NEW YORK,OVERHEAD SIGN STRUCTURES & SIGN PANEL PROGRAM; SFY 20/21,"OVERHEAD SIGN STRUCTURES & SIGN PANEL PROGRAM; SFY 20/21;VARIOUS LOCATIONS; CHAUTAUQUA, ERIE & NIAGARA COUNTIES",Future Development,Summer 2018,Spring 2020,Summer 2020,Fall 2020,800000.00,Yes,Yes,No,This project involves the installation and maintenance of traffic signs.,"This project will replace signs that are damaged, have fallen down, have no reflectivity for nighttime visibility, and/or will correct safety/operational issues as needed at locations in Chautauqua, Erie & Niagara Counties.",,,,,,,
581095,D264021,05 WESTERN NEW YORK,"SIGNAL REPLACEMENT, SFY 19/20","SIGNAL REPLACEMENT; RT 62, RT 20, & RT 384; VARIOUS LOCATIONS; CITY OF NIAGARA FALLS, VILLAGE OF KENMORE, AND TOWNS OF AMHERST, ORCHARD PARK, & TONAWANDA; ERIE & NIAGARA COUNTIES",Under Construction,Spring 2017,08/22/2019,,,,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will include traffic signal equipment installation & improvements on Route 62, Route 20, and Route 384, at various locations in the City of Niagara Falls, Village of Kenmore, Towns of Amherst, Orchard Park & Tonawanda in Erie & Niagara Counti",10/09/2019,2081066,0,2081066,11/30/2020,GREEN,GREEN
581096,,05 WESTERN NEW YORK,"SIGNAL REQUIREMENTS, SFY 20/21","SIGNAL REQUIREMENTS, SFY 20/21; VARIOUS LOCATIONS; CATTARAUGUS, CHAUTAUQUA, ERIE & NIAGARA COUNTIES",Future Development,,Summer 2020,Fall 2020,Winter 2020/2021,1800000.00,No,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will include traffic signal equipment installation & improvements at various locations in Cattaraugus, Chautauqua, Erie & Niagara Counties.",,,,,,,
581097,D264167,05 WESTERN NEW YORK,"PAVT MARKINGS (LINE-2); CATT, CHAUT, & ERIE COS","PAVT MARKINGS (LINE-2); CATT, CHAUT, & ERIE COS; Various Locations",Under Construction,Winter 2018/2019,01/09/2020,,,,Yes,Yes,No,"This project involves painting lane lines, shoulder lines, and other pavement markings.","This project will replace durable pavement markings that have deteriorated due to maintenance operations ( plowing, patching, ect..) and/or wear due to high traffic volumes at various locations in Cattaraugus, Chautauqua, and Erie Counties.",02/11/2020,3369837,0,3369837,11/30/2020,GREEN,GREEN
581098,,05 WESTERN NEW YORK,PAVT MARKINGS (LINE-1); SFY 20/21,PAVT MARKINGS (LINE-1); SFY 20/21,Future Development,,Fall 2020,Winter 2020/2021,Spring 2021,1800000.00,Yes,Yes,No,"This project involves painting lane lines, shoulder lines, and other pavement markings.","This project will replace durable pavement markings that have deteriorated due to maintenance operations ( plowing, patching, ect..) and/or wear due to high traffic volumes at various locations in Cattaraugus, Chautauqua, Erie & Niagara County.",,,,,,,
581231,D263943,05 WESTERN NEW YORK,"LARGE CULVERT REPLACEMENTS AND REPAIRS, ERIE & NIAGARA COS","Large Culvert Replacements and Repairs, in the Towns of Eden, Aurora, Elma, Holland, Royalton, Wheatfield and Lewiston, Erie & Niagara Counties",Under Construction,Winter 2016/2017,03/28/2019,,,,Yes,Yes,No,This project involves the repair and replacement of culverts.,"This project will replace deteriorated culverts with new metal or concrete structures and this project will rehabilitate existing culverts at various locations in the Towns of Eden, Aurora, Elma, Holland, Royalton, Wheatfield, and Lewiston in Erie & Niaga",05/10/2019,2633556,0,2633556,11/30/2020,GREEN,GREEN
581261,D263658,05 WESTERN NEW YORK,"GENERAL BRIDGE REPAIRS; CATT, CHAUT, & ERIE COS","GENERAL BRIDGE REPAIRS; BINs 1071921, 1071922, 1047531, 1047532, 1041510, 1062720, 1091760, 1092071, 1092072, 1091901, 1091902, 1062661, 1062662, 1046400, 1061030; CATT, CHAUT, & ERIE COS",Completed Project,Winter 2016/2017,02/08/2018,,,,Yes,Yes,No,This project involves general bridge repairs.,"This project will begin phase II to maintain and preserve the region's bridges under the Bridge MBC (Maintenance-By-Contract) and Preservation Program in Cattaraugus, Chautauqua, and Erie Counties.",03/23/2018,3817521,812219,4629740,10/31/2019,RED,RED
581262,D263885,05 WESTERN NEW YORK,BRIDGE MBC; VARIOUS BRIDGES ON I-990,"Bridge Deck Overlay on 7 bridges on I-990, to include BINs 1071872, 1072632, 1072642, 1072652, 1072662, 1072812 & 1074392; Town of Amherst, Erie County",Under Construction,Spring 2017,02/28/2019,,,,Yes,Yes,No,This project involves general bridge repairs.,"This project will repair the concrete bridge decks and utilize an appropriate overlay for 7 bridges on the I-990 in the Town of Amherst, Erie County. Additional work includes repairing or replacing deficient bridge joint systems and painting weathering st",03/28/2019,6331750,354834,6686584,07/01/2020,GREEN,YELLOW
581263,D263922,05 WESTERN NEW YORK,RT 219 OVER NEWTON RD AND RT 219 OVER SOUTH ABBOTT RD,"Rt 219 over Newton Rd and Rt 219 over South Abbott Rd; General bridge repairs of BINS 1092191, 1092192, 1092201, 1092202; Town of Orchard Park, Erie County",Under Construction,Winter 2017/2018,02/28/2019,,,,Yes,Yes,No,This project involves replacing bridge decks.,"This project will make general bridge repairs to the Route 219 bridges over South Abbott Road (BINs 1092191 and 1092192) and Route 219 bridges over Newton Road (BINs 1092201 and 1092202) in the Town of Orchard Park, Erie County.",03/28/2019,5964116,122522,6086638,12/01/2020,GREEN,GREEN
581267,D263773,05 WESTERN NEW YORK,"HIGHWAY JOC SFY 18/19, 19/20, 20/21 & 20/22","HIGHWAY JOC SFY 18/19, 19/20, 20/21 & 21/22; CATTARAUGUS, CHAUTAUQUA, ERIE & NIAGARA COUNTIES",Completed Project,Winter 2017/2018,09/13/2018,,,,No,Yes,No,This project involves routine maintenance.,"This project will involve having a contractor ready to respond to highway rehabilitation or repair anywhere in Cattaraugus, Chautauqua, Erie or Niagara County. These projects are prioritized on the severity of repairs to be completed. The necessary repair",10/26/2018,537342,-267436,269907,10/23/2019,GREEN,GREEN
581268,,05 WESTERN NEW YORK,RT 280 BRIDGE & 3 LG CULVERTS - CATT CO,"Bridge repairs (BIN 6600180) & repair/replace large culverts (C540135, C510207, & C510225) in the Towns of Cold Spring, Allegany, Salamanca, and Perrysburg, and the City of Salamanca in Cattaraugus County and SNI Territory",In Development,Fall 2016,Winter 2020/2021,Winter 2020/2021,Spring 2021,4700000.00,Yes,Yes,No,This project involves the repair and replacement of culverts.,"This project will replace deteriorated culverts and rehabilitate existing culverts at various locations in the Towns of Allegany, Salamanca, and Perrysburg, and the City of Salamanca in Cattaraugus County and SNI Territory. This project will also repair a",,,,,,,
581269,D264176,05 WESTERN NEW YORK,BRIDGE MBC & PRESERVATION PROGRAM; SFY 19/20 - PHASE I,"BRIDGE MBC & PRESERVATION PROGRAM, REHAB OF BINS 1092021, 1092022, 1071071, 1011072, 1071081 & 1071082; CATTARAUGUS & ERIE COUNTIES",Under Construction,Summer 2018,02/20/2020,,,,Yes,Yes,No,This project involves general bridge repairs.,This project will maintain and preserve 6 bridges located in the Towns of Allegany and Concord in Cattaraugus and Erie Counties under the Bridge MBC (Maintenance-By-Contract) and Preservation Program.,03/30/2020,3652897,0,3652897,12/01/2021,GREEN,GREEN
581270,D263966,05 WESTERN NEW YORK,"RT 400 OVER RT 16, PARTIAL SUPERSTRUCTURE REPLACEMENT","Rt 400 over Rt 16, Partial Superstructure Replacement of BINs 1054581 & 1054582, in the Town of Aurora, Erie County.",Under Construction,Winter 2016/2017,06/20/2019,,,,Yes,Yes,No,This project involves replacing the bridge superstructure.,This project will partially replace the superstructure at Route 400 over Route 16 in the Town of Aurora in Erie County.,08/01/2019,4240882,0,4240882,09/29/2021,GREEN,GREEN
581271,D264084,05 WESTERN NEW YORK,PAVT MARKINGS (REQ); SFY 19/20,"PAVT MARKINGS (REQ); SFY 19/20; Various Locations; Cattaraugus, Chautauqua, Erie, & Niagara Cos",Under Construction,Fall 2018,01/09/2020,,,,Yes,Yes,No,"This project involves painting lane lines, shoulder lines, and other pavement markings.","This project will replace durable pavement markings that have deteriorated due to maintenance operations ( plowing, patching, etc.) and/or wear due to high traffic volumes at various locations in Cattaraugus, Chautauqua, Erie & Niagara Counties.",02/04/2020,883150,0,883150,04/30/2021,GREEN,GREEN
581272,D263904,05 WESTERN NEW YORK,RT 20 @ RT 60; INTERSECTION IMPROVEMENTS,RT 20 @ RT 60; INTERSECTION IMPROVEMENTS; VILLAGE OF FREDONIA; TOWN OF POMFRET; CHAUTAUQUA COUNTY,Under Construction,Spring 2015,02/28/2019,,,,Yes,Yes,No,This project involves installation or improvements to the barriers in the middle of a highway.,The project will construct raised medians along the approaches to the intersection of Route 20 and Route 60 in the Village of Fredonia and Town of Pomfret in Chautauqua County to reduce and eliminate accidents due to congestion in the area and numerous co,04/25/2019,3685957,48503,3734460,07/01/2020,GREEN,GREEN
581274,,05 WESTERN NEW YORK,"SIGNAL REPLACEMENT, SFY 21/22","SIGNAL REPLACEMENT, SFY 21/22; VARIOUS LOCATIONS; CATTARAUGUS, CHAUTAUQUA, ERIE & NIAGARA COUNTIES",Future Development,,Fall 2021,Winter 2021/2022,Fall 2022,1000000.00,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will include traffic signal equipment installation & improvements at various locations in Cattaraugus, Chautauqua, Erie & Niagara Counties.",,,,,,,
581276,,05 WESTERN NEW YORK,SMALL CULVERT MAINTENANCE; SFY 21/22,"Small Culvert Maintenance; SFY 21/22; Various Locations; NY 242, NY 83, NY 240, NY 104, & NY 270; Towns of Little Valley, Mansfield, Ellington, Villenova, Colden, Aurora, Lewiston, Lockport, & Cambria; Cattaraugus, Chautauqua, Erie, & Niagara Cos",Future Development,Spring 2019,Fall 2021,Winter 2021/2022,Fall 2022,1500000.00,Yes,Yes,No,This project involves maintenance of drainage along bridges and roads.,"This project will provide funding for small culvert maintenance at various locations in the Towns of Little Valley, Mansfield, Ellington, Villenova, Colden, Aurora, Lewiston, Lockport, and Cambria in Cattaraugus, Chautauqua, Erie & Niagara Counties.",,,,,,,
581277,,05 WESTERN NEW YORK,OVERHEAD SIGN STRUCTURES & SIGN PANEL PROGRAM; SFY 21/22,OVERHEAD SIGN STRUCTURES & SIGN PANEL PROGRAM; SFY 21/22,Future Development,,Spring 2021,Summer 2021,Fall 2021,1000000.00,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will replace signs that are damaged, have fallen down, have no reflectivity for nighttime visibility, and/or will correct safety/operational issues as needed at locations in Cattaraugus, Chautauqua, Erie & Niagara Counties.",,,,,,,
581278,,05 WESTERN NEW YORK,GUIDERAIL REPLACEMENT SFY 21/22,GUIDERAIL REPLACEMENT SFY 21/22,Future Development,,Spring 2021,Summer 2021,Fall 2021,1000000.00,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"This project will replace guiderail as needed at various locations in Cattaraugus, Chautauqua, Erie & Niagara County.",,,,,,,
581291,D263748,05 WESTERN NEW YORK,OVERHEAD VMS REPLACEMENT ON RT 400 NB,OVERHEAD VMS REPLACEMENT on Rt 400 NB,Completed Project,Spring 2017,07/12/2018,,,,Yes,Yes,No,"This project involves various technologies to assist in managing traffic to improve flow, safety, and air quality.",This project will replace Overhead Variable Message Sign (VMS) on Rt 400 to correct any safety and operational issues as needed as part of the Transportation System Management Intelligent Transportation Services,08/14/2018,268721,-26829,241892,10/03/2019,RED,GREEN
581292,,05 WESTERN NEW YORK,SAFETY ENHANCEMENTS FOR ITS INFRASTRUCTURE SFY 19/20,SAFETY ENHANCEMENTS FOR ITS INFRASTRUCTURE SFY 19/20,Future Development,Spring 2018,Winter 2019/2020,Winter 2019/2020,Summer 2020,500000.00,Yes,Yes,No,"This project involves various technologies to assist in managing traffic to improve flow, safety, and air quality.","This project will make electrical improvements at various intelligent transportation system (ITS) sites within the Route 33, Route 198, I-290, and I-990 corridors in Erie County as needed. Work will include bringing existing power up to current electrical",,,,,,,
581300,D264128,05 WESTERN NEW YORK,RT 5; RT 62 - I290,Mill & Overlay of RT 5 from RT 62 to I290; City of Buffalo; Town of Amherst; Erie County,Under Construction,Spring 2017,12/19/2019,,,,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,This project will mill the existing pavement surface and then overlay it with a layer of asphalt to prevent additional deterioration on Route 5 from Route 62 to I-290 in the City of Buffalo and the Town of Amherst in Erie County.,02/10/2020,4040040,0,4040040,10/01/2020,GREEN,GREEN
581304,D263909,05 WESTERN NEW YORK,RT 400; RT 20A - JAMISON RD,Mill & Overlay of RT 400 from RT 20A to Jamison Rd; Towns of Aurora & Elma; Erie County,Completed Project,Winter 2015/2016,03/14/2019,,,,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,This project will mill the existing pavement surface and then overlay it with a layer of asphalt to prevent additional deterioration on Route 400 from Route 20A to Jamison Road in the Towns of Aurora and Elma in Erie County.,04/23/2019,2899995,-165212,2734783,09/04/2019,GREEN,GREEN
581307,,05 WESTERN NEW YORK,ADA COMPLIANCE PROJECT SFY 21/22,"ADA COMPLIANCE PROJECT SFY 21/22; TOWNS OF ORCHARD PARK, TONAWANDA, AMHERST, FREDONIA; CITY OF NIAGARA FALLS; HAMLET OF RANSOMVILLE; CATTARAUGUS, CHAUTAUQUA, ERIE, & NIAGARA COS",Future Development,Spring 2019,Spring 2021,Spring 2021,Fall 2021,2200000.00,Yes,Yes,No,"This project involves rehabilitating pedestrian facilities (paths, sidewalks, crosswalks, etc.).","This project will improve pedestrian mobility by bringing various locations in the Towns of Orchard Park, Tonawanda, Amherst, Fredonia, City of Niagara Falls, and the Hamlet of Ransomville in the Counties of Cattaraugus, Chautauqua, Erie, and Niagara into",,,,,,,
